test,B,I,U,G,H,solution
1.in,0,0,0,0,0,0
2.in,0,0,0,0,0,1
3.in,0,0,0,0,0,2
4.in,0,0,0,0,0,3
5.in,0,0,0,0,0,4
6.in,0,0,0,0,0,5
7.in,0,1,0,0,-,6
8.in,0,3,1,0,-,7
9.in,0,5,1,0,0,8
10.in,1,8,4,0,-,9
11.in,3,19,8,2,-,10
12.in,4,31,10,6,-,11
13.in,8,40,20,5,-,12
14.in,11,91,34,5,-,13
15.in,33,140,67,10,-,14
16.in,50,210,99,11,-,15
17.in,78,436,129,6,-,16
18.in,135,579,215,14,-,17
19.in,184,892,341,8,-,18
20.in,359,1593,597,4,-,19
21.in,374,2510,662,1,-,20
22.in,811,3886,821,11,-,21
23.in,1147,4757,995,3,-,22
24.in,1345,8612,1448,12,-,23
25.in,1999,10881,1780,11,-,24
26.in,2736,17230,2092,16,-,25
27.in,3182,19145,2167,11,-,26
28.in,4056,28745,2269,20,-,27
29.in,4372,32925,2483,5,-,28
30.in,5472,46334,2596,10,-,29
31.in,5602,55113,2502,3,-,30
32.in,5962,69716,2582,6,-,31
